speaker	phone	vowel	duration	ceiling	variance	F1	F2	F3	F1Bk	F2Bk	F3Bk	start	word	filename	status
HDK	ò	o	0.176	5130	0.106	551	1063	3229	5.39	8.88	16.14	134.763	pʼá-bòs	archi-phon-2006-HDK-2-stops	Auto
HDK	é	e	0.212	5850	0.080	678	2196	3036	6.38	13.52	15.72	141.811	kʼértʰ	archi-phon-2006-HDK-2-stops	Auto
HDK	é	e	0.138	5910	0.055	629	2419	3139	6.01	14.17	15.95	146.408	lʲé-pər-qʼòn	archi-phon-2006-HDK-2-stops	Auto
HDK	ə	ə	0.052	4870	0.066	612	1519	2504	5.88	11.09	14.41	146.649	lʲé-pər-qʼòn	archi-phon-2006-HDK-2-stops	Auto
HDK	ò	o	0.080	4510	0.146	701	1094	1941	6.55	9.05	12.70	146.918	lʲé-pər-qʼòn	archi-phon-2006-HDK-2-stops	Auto
HDK	é	e	0.131	6350	0.080	596	2517	3228	5.75	14.44	16.14	147.620	lʲé-pʼər-qʼòn	archi-phon-2006-HDK-2-stops	Auto
HDK	ə	ə	0.097	5830	0.167	595	1573	3205	5.74	11.32	16.09	147.882	lʲé-pʼər-qʼòn	archi-phon-2006-HDK-2-stops	Auto
HDK	ò	o	0.124	4370	0.203	595	1062	1819	5.74	8.87	12.27	148.150	lʲé-pʼər-qʼòn	archi-phon-2006-HDK-2-stops	Auto
HDK	é	e	0.170	6070	0.170	659	2341	3194	6.24	13.95	16.07	159.048	hérqʼ-bòs	archi-phon-2006-HDK-2-stops	Auto
HDK	ò	o	0.137	4870	0.047	553	1074	3000	5.40	8.94	15.64	159.604	hérqʼ-bòs	archi-phon-2006-HDK-2-stops	Auto
HDK	é	e	0.140	6070	0.122	647	2355	3196	6.15	13.99	16.07	160.218	hérqʼ-bòs	archi-phon-2006-HDK-2-stops	Auto
HDK	ò	o	0.128	4790	0.039	571	1107	2912	5.55	9.11	15.43	160.700	hérqʼ-bòs	archi-phon-2006-HDK-2-stops	Auto
HDK	ə́	ə	0.138	5850	0.079	732	1787	3015	6.78	12.15	15.67	167.992	ʕə́ʔ-bòs	archi-phon-2006-HDK-2-stops	Auto
HDK	ò	o	0.157	5370	0.121	558	1189	3229	5.44	9.55	16.14	168.358	ʕə́ʔ-bòs	archi-phon-2006-HDK-2-stops	Auto
HDK	ə́	ə	0.098	5850	0.025	606	1767	2976	5.83	12.08	15.58	168.907	ʕə́ʔ-bòs	archi-phon-2006-HDK-2-stops	Auto
HDK	ə	ə	0.052	5830	0.206	604	1734	2834	5.81	11.96	15.25	169.091	ʕə́ʔ-bòs	archi-phon-2006-HDK-2-stops	Auto
HDK	ò	o	0.139	5330	0.034	574	1208	3170	5.57	9.65	16.02	169.216	ʕə́ʔ-bòs	archi-phon-2006-HDK-2-stops	Auto
HDK	áˤ	a	0.183	4510	0.274	989	1359	1814	8.45	10.39	12.25	179.077	pʼáˤrˤ-pʼə-lʲa	archi-phon-2006-HDK-2-stops	Auto
HDK	ə	ə	0.057	5830	0.055	752	1623	2858	6.92	11.52	15.31	179.444	pʼáˤrˤ-pʼə-lʲa	archi-phon-2006-HDK-2-stops	Auto
HDK	a	a	0.103	5850	0.052	787	1834	3103	7.16	12.32	15.87	179.576	pʼáˤrˤ-pʼə-lʲa	archi-phon-2006-HDK-2-stops	Auto
HDK	áˤ	a	0.210	5350	0.046	974	1793	2388	8.36	12.18	14.09	180.263	pʼáˤrˤ-pʼə-lʲa	archi-phon-2006-HDK-2-stops	Auto
HDK	ə	ə	0.059	5770	0.068	748	1614	2924	6.89	11.49	15.46	180.641	pʼáˤrˤ-pʼə-lʲa	archi-phon-2006-HDK-2-stops	Auto
HDK	a	a	0.102	5750	0.018	890	1828	3113	7.84	12.30	15.89	180.782	pʼáˤrˤ-pʼə-lʲa	archi-phon-2006-HDK-2-stops	Auto
HDK	áːˤ	a	0.236	5350	0.012	947	1756	2385	8.20	12.04	14.08	181.469	pʼáːˤrˤ-pʼə-lʲa	archi-phon-2006-HDK-2-stops	Auto
HDK	ə	ə	0.058	5170	0.030	772	1691	3041	7.05	11.79	15.73	181.881	pʼáːˤrˤ-pʼə-lʲa	archi-phon-2006-HDK-2-stops	Auto
HDK	a	a	0.126	5770	0.126	906	1765	3182	7.94	12.07	16.04	182.008	pʼáːˤrˤ-pʼə-lʲa	archi-phon-2006-HDK-2-stops	Auto
HDK	í	i	0.226	6220	0.108	454	2814	3461	4.56	15.20	16.62	185.882	sːín	archi-phon-2006-HDK-2-stops	Auto
HDK	í	i	0.215	5900	0.025	523	2753	3456	5.15	15.05	16.61	187.064	sːín	archi-phon-2006-HDK-2-stops	Auto
HDK	áˤ	a	0.209	4570	0.447	950	1622	2040	8.21	11.52	13.03	190.163	ʧʼˤáˤ-pʼə-lʲa	archi-phon-2006-HDK-2-stops	Auto
HDK	ə	ə	0.064	4710	0.048	776	1744	2301	7.09	11.99	13.84	190.481	ʧʼˤáˤ-pʼə-lʲa	archi-phon-2006-HDK-2-stops	Auto
HDK	a	a	0.137	5810	0.046	914	1886	3139	7.99	12.51	15.95	190.627	ʧʼˤáˤ-pʼə-lʲa	archi-phon-2006-HDK-2-stops	Auto
HDK	áˤ	a	0.205	4570	0.165	893	1677	2046	7.86	11.74	13.05	191.413	ʧʼˤáˤ-pʼə-lʲa	archi-phon-2006-HDK-2-stops	Auto
HDK	ə	ə	0.051	4870	0.043	762	1686	2819	6.99	11.77	15.21	191.736	ʧʼˤáˤ-pʼə-lʲa	archi-phon-2006-HDK-2-stops	Auto
HDK	a	a	0.125	5850	0.035	922	1839	3164	8.04	12.34	16.00	191.865	ʧʼˤáˤ-pʼə-lʲa	archi-phon-2006-HDK-2-stops	Auto
HDK	á	a	0.131	5650	0.115	878	2035	3040	7.76	13.01	15.73	194.937	lʲáp-pːus	archi-phon-2006-HDK-2-stops	Auto
HDK	u	u	0.104	4450	0.174	427	928	2015	4.32	8.08	12.95	195.287	lʲáp-pːus	archi-phon-2006-HDK-2-stops	Auto
HDK	á	a	0.177	5850	1.402	859	1909	3126	7.64	12.59	15.92	196.316	lʲáp-pːus	archi-phon-2006-HDK-2-stops	Auto
HDK	u	u	0.126	5350	0.091	455	992	3131	4.57	8.46	15.93	196.666	lʲáp-pːus	archi-phon-2006-HDK-2-stops	Auto
HDK	í	i	0.205	6060	0.037	427	2799	3428	4.32	15.17	16.55	200.177	ɬíp-tʼu	archi-phon-2006-HDK-2-stops	Auto
HDK	u	u	0.172	4170	0.390	492	962	1736	4.89	8.28	11.96	200.611	ɬíp-tʼu	archi-phon-2006-HDK-2-stops	Auto
HDK	í	i	0.117	6000	0.116	450	2529	3150	4.52	14.48	15.97	201.115	ɬíp-pːuˤ#χˤóˤn	archi-phon-2006-HDK-2-stops	Auto
HDK	uˤ	u	0.073	4690	0.021	566	1160	1901	5.51	9.40	12.56	201.439	ɬíp-pːuˤ#χˤóˤn	archi-phon-2006-HDK-2-stops	Auto
HDK	óˤ	o	0.186	4570	0.067	660	1114	2003	6.24	9.15	12.91	201.614	ɬíp-pːuˤ#χˤóˤn	archi-phon-2006-HDK-2-stops	Auto
HDK	í	i	0.110	6600	0.058	398	2665	3559	4.05	14.83	16.81	202.555	ɬíp-pːuˤ#χˤóˤn	archi-phon-2006-HDK-2-stops	Auto
HDK	uˤ	u	0.064	3710	0.007	577	1126	2209	5.59	9.22	13.56	202.859	ɬíp-pːuˤ#χˤóˤn	archi-phon-2006-HDK-2-stops	Auto
HDK	óˤ	o	0.179	4390	0.143	667	1137	1847	6.30	9.28	12.37	203.036	ɬíp-pːuˤ#χˤóˤn	archi-phon-2006-HDK-2-stops	Auto
HDK	í	i	0.213	6220	0.439	565	2982	3516	5.50	15.60	16.73	207.700	qʼíjβɵ#tʼəβékʼ	archi-phon-2006-HDK-2-stops	Auto
HDK	ɵ	ɵ	0.051	4750	0.009	577	1821	3139	5.60	12.28	15.95	208.048	qʼíjβɵ#tʼəβékʼ	archi-phon-2006-HDK-2-stops	Auto
HDK	ə	ə	0.050	5850	0.033	578	2130	3050	5.61	13.32	15.75	208.217	qʼíjβɵ#tʼəβékʼ	archi-phon-2006-HDK-2-stops	Auto
HDK	é	e	0.146	5730	0.014	539	2487	3065	5.29	14.36	15.79	208.343	qʼíjβɵ#tʼəβékʼ	archi-phon-2006-HDK-2-stops	Auto
HDK	a	a	0.104	5290	0.200	905	1591	2956	7.93	11.39	15.54	209.078	ap-pːˤáˤ-si	archi-phon-2006-HDK-2-stops	Auto
HDK	áˤ	a	0.141	5090	0.063	870	1782	2291	7.71	12.13	13.81	209.323	ap-pːˤáˤ-si	archi-phon-2006-HDK-2-stops	Auto
HDK	i	i	0.104	5720	0.107	468	2690	3233	4.68	14.89	16.15	209.573	ap-pːˤáˤ-si	archi-phon-2006-HDK-2-stops	Auto
HDK	a	a	0.079	5850	0.073	957	1670	2825	8.26	11.71	15.23	210.273	ap-pːˤáˤ-si	archi-phon-2006-HDK-2-stops	Auto
HDK	áˤ	a	0.159	5170	0.098	893	1708	2272	7.86	11.85	13.75	210.515	ap-pːˤáˤ-si	archi-phon-2006-HDK-2-stops	Auto
HDK	i	i	0.114	6600	0.109	484	2700	3351	4.82	14.92	16.40	210.798	ap-pːˤáˤ-si	archi-phon-2006-HDK-2-stops	Auto
HDK	á	a	0.257	5850	0.030	1009	1806	3204	8.56	12.22	16.09	214.405	dáb	archi-phon-2006-HDK-2-stops	Auto
HDK	á	a	0.233	5850	0.131	917	1811	3249	8.01	12.24	16.19	215.740	dábᵊ	archi-phon-2006-HDK-2-stops	Auto
HDK	ɵ	ɵ	0.092	5850	0.004	569	1785	3329	5.53	12.15	16.35	219.659	nɵ-dó	archi-phon-2006-HDK-2-stops	Auto
HDK	ó	o	0.269	5550	0.056	548	1162	3235	5.36	9.41	16.16	219.855	nɵ-dó	archi-phon-2006-HDK-2-stops	Auto
HDK	ɵ	ɵ	0.084	5170	0.005	535	1842	3466	5.26	12.35	16.63	220.930	nɵ-dó	archi-phon-2006-HDK-2-stops	Auto
HDK	ó	o	0.228	5330	0.128	500	1147	3292	4.96	9.33	16.27	221.101	nɵ-dó	archi-phon-2006-HDK-2-stops	Auto
HDK	í	i	0.173	6600	1.006	457	2839	3475	4.58	15.26	16.65	223.275	íqʰ-lʲaw	archi-phon-2006-HDK-2-stops	Auto
HDK	a	a	0.161	5530	0.064	868	1814	3125	7.70	12.25	15.92	223.829	íqʰ-lʲaw	archi-phon-2006-HDK-2-stops	Auto
HDK	í	i	0.129	5900	0.404	488	2861	3251	4.85	15.31	16.19	224.540	íqʰ-lʲaw	archi-phon-2006-HDK-2-stops	Auto
HDK	a	a	0.066	5490	0.091	761	2002	3026	6.98	12.90	15.70	225.023	íqʰ-lʲaw	archi-phon-2006-HDK-2-stops	Auto
HDK	a	a	0.107	5850	0.184	934	1625	3308	8.12	11.53	16.31	225.591	ab-bád	archi-phon-2006-HDK-2-stops	Auto
HDK	á	a	0.262	5850	0.047	914	1741	3269	7.99	11.98	16.23	225.952	ab-bád	archi-phon-2006-HDK-2-stops	Auto
HDK	a	a	0.120	5850	0.107	959	1724	3345	8.27	11.92	16.39	226.753		archi-phon-2006-HDK-2-stops	Auto
HDK	á	a	0.248	4970	0.077	847	1734	3310	7.56	11.95	16.31	227.059	ab-bád	archi-phon-2006-HDK-2-stops	Auto
