speaker	phone	vowel	duration	ceiling	variance	F1	F2	F3	F1Bk	F2Bk	F3Bk	start	word	filename	status
PSX	əˤ	ə	0.067	4950	0.014	635	1881	2493	6.06	12.49	14.38	202.587	kʼəˤpʰˤéˤlʲ	archi-phon-2006-PSX-2-stops	Auto
PSX	éˤ	e	0.160	6310	0.111	440	2305	3237	4.44	13.85	16.16	202.796	kʼəˤpʰˤéˤlʲ	archi-phon-2006-PSX-2-stops	Auto
PSX	əˤ	ə	0.087	5270	0.119	635	1959	2588	6.06	12.76	14.63	203.853	kʼəˤpʰˤéˤlʲ	archi-phon-2006-PSX-2-stops	Auto
PSX	éˤ	e	0.160	5270	0.057	552	2215	2848	5.39	13.58	15.28	204.080	kʼəˤpʰˤéˤlʲ	archi-phon-2006-PSX-2-stops	Auto
PSX	əˤ	ə	0.073	4850	0.096	596	1927	2439	5.75	12.65	14.23	204.875	kʼəˤpʰˤéˤlʲ	archi-phon-2006-PSX-2-stops	Auto
PSX	éˤ	e	0.094	6230	0.136	478	2332	2996	4.77	13.93	15.63	205.069	kʼəˤpʰˤéˤlʲ	archi-phon-2006-PSX-2-stops	Auto
PSX	ɐ	ɐ	0.112	6070	0.122	613	2112	3361	5.88	13.26	16.42	208.050	qχɐlʲín	archi-phon-2006-PSX-2-stops	Auto
PSX	í	i	0.133	7100	0.118	387	2706	3574	3.95	14.93	16.84	208.259	qχɐlʲín	archi-phon-2006-PSX-2-stops	Auto
PSX	ə	ə	0.088	5590	0.112	493	1993	2722	4.90	12.87	14.97	209.217	qχəlʲín	archi-phon-2006-PSX-2-stops	Auto
PSX	í	i	0.115	6680	0.006	428	2653	3316	4.32	14.80	16.32	209.402	qχəlʲín	archi-phon-2006-PSX-2-stops	Auto
PSX	á	a	0.273	6350	0.964	852	1691	2925	7.59	11.79	15.47	216.136	pʼábòs	archi-phon-2006-PSX-2-stops	Auto
PSX	ò	o	0.160	6030	0.479	604	1227	2939	5.82	9.75	15.50	216.520	pʼábòs	archi-phon-2006-PSX-2-stops	Auto
PSX	á	a	0.221	6350	0.127	809	1586	2975	7.31	11.37	15.58	217.282	pʼábòs	archi-phon-2006-PSX-2-stops	Auto
PSX	ò	o	0.124	4950	0.415	516	1245	2959	5.10	9.84	15.54	217.570	pʼábòs	archi-phon-2006-PSX-2-stops	Auto
PSX	é	e	0.060	6850	0.100	449	2226	2984	4.52	13.61	15.60	228.965	lépʼr̩qʼòn	archi-phon-2006-PSX-2-stops	Auto
PSX	ò	o	0.139	4950	0.396	612	1325	2788	5.88	10.22	15.14	229.358	lépʼr̩qʼòn	archi-phon-2006-PSX-2-stops	Auto
PSX	é	e	0.061	6810	0.072	406	2254	3110	4.13	13.70	15.89	230.026	lʼépʼr̩qʼòn	archi-phon-2006-PSX-2-stops	Auto
PSX	ò	o	0.085	6010	0.157	509	968	2932	5.04	8.32	15.48	230.386	lʼépʼr̩qʼòn	archi-phon-2006-PSX-2-stops	Auto
PSX	é	e	0.093	6570	0.486	584	2190	3260	5.65	13.51	16.21	238.751	ɦérqʼbòs	archi-phon-2006-PSX-2-stops	Auto
PSX	ò	o	0.079	4850	0.156	610	1181	2423	5.86	9.51	14.19	239.204	ɦérqʼbòs	archi-phon-2006-PSX-2-stops	Auto
PSX	áːˤ	a	0.188	4930	0.054	841	1774	2658	7.52	12.11	14.81	243.880	pʼˤáːˤrˤpʼəlʲa	archi-phon-2006-PSX-2-stops	Auto
PSX	ə	ə	0.066	5850	0.045	691	1596	2560	6.48	11.41	14.56	244.183	pʼˤáːˤrˤpʼəlʲa	archi-phon-2006-PSX-2-stops	Auto
PSX	a	a	0.057	5530	0.044	735	1878	2878	6.79	12.48	15.35	244.331	pʼˤáːˤrˤpʼəlʲa	archi-phon-2006-PSX-2-stops	Auto
PSX	áˤ	a	0.109	5190	0.077	768	1653	2681	7.03	11.64	14.87	244.440	pʼˤáˤrˤpʼəlʲa	archi-phon-2006-PSX-2-stops	Auto
