speaker	vowel	phone	time	duration	F1	F2	F3	ceiling	F1Bk	F2Bk	F3Bk	filename	status
PSX	e	é	45.477	0.181	449	2577	3161	6000	4.51	14.60	16.00	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	é	46.823	0.137	402	2551	3137	6000	4.09	14.53	15.94	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	é	49.951	0.111	548	2411	2791	6000	5.36	14.15	15.12	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	é	51.282	0.115	422	2404	3159	6000	4.28	14.13	15.99	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éː	72.610	0.284	438	2377	3180	6000	4.41	14.06	16.02	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éː	73.840	0.202	392	2507	3149	6000	4.00	14.42	15.97	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éː	87.411	0.169	536	2167	2903	6000	5.26	13.42	15.40	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éː	88.852	0.128	429	2243	2961	6000	4.34	13.65	15.54	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	é	401.909	0.153	476	2241	3018	6000	4.74	13.66	15.67	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	é	403.580	0.076	441	2378	2973	6000	4.45	14.06	15.58	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	é	493.320	0.084	512	2207	2865	6000	5.06	13.56	15.32	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éː	597.954	0.202	462	2445	3149	6000	4.63	14.24	15.97	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éː	599.221	0.138	408	2379	3096	6000	4.14	14.06	15.85	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	é	607.932	0.183	480	2398	3163	6000	4.78	14.10	16.00	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	é	609.132	0.127	405	2473	3108	6000	4.11	14.32	15.88	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	é	615.044	0.147	456	2210	3164	6000	4.58	13.54	16.00	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	é	616.230	0.108	500	2137	3168	6000	4.96	13.33	16.01	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	é	628.749	0.107	544	2215	3053	6000	5.32	13.58	15.76	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	é	629.844	0.095	506	2212	2955	6000	5.01	13.57	15.54	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	é	649.244	0.178	466	2219	2957	6000	4.67	13.59	15.54	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	ẽ́ː	683.643	0.349	572	2196	2607	6000	5.54	13.52	14.65	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	é	690.644	0.156	543	2182	2633	6000	5.31	13.48	14.75	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	é	692.069	0.175	437	2240	2715	6000	4.40	13.65	14.96	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éˤ	59.485	0.106	457	2113	3001	5950	4.58	13.26	15.63	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éˤ	61.153	0.109	483	2163	3091	5950	4.82	13.42	15.84	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éˤ	64.062	0.151	446	2358	3162	5950	4.47	14.00	16.00	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éˤ	65.756	0.098	496	2393	3068	5950	4.93	14.10	15.79	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éˤ	68.692	0.140	586	1916	2793	5950	5.67	12.61	15.15	archi-phon-2006-PSX-1-vowels	Auto
