file,f0,duration,label,group,color,number,cutoff,f11,f21,f31,f12,f22,f32,f13,f23,f33,f14,f24,f34,f15,f25,f35
archi-phon-2006-HDK-1-vowels_0095,245,0.246,óː,14,Green,95,7200,620,1016,3367,675,994,3464,620,980,3464,648,1149,3478,605,1663,3429
archi-phon-2006-HDK-1-vowels_0096,234.8,0.248,óː,14,Green,96,6400,652,995,3457,617,1006,3409,546,1035,3356,518,1165,3351,559,1733,3384
archi-phon-2006-HDK-1-vowels_0097,242,0.354,óːˤ,19,Lime,97,6800,562,1190,3016,674,995,2891,689,973,2666,669,977,2616,582,1187,2866
archi-phon-2006-HDK-1-vowels_0098,229.3,0.346,óːˤ,19,Lime,98,5200,496,1114,2414,486,966,2079,488,975,2013,494,986,1928,522,1152,2867
archi-phon-2006-HDK-1-vowels_0099,309.6,0.224,ú,5,Olive,99,5600,466,1103,2883,432,1294,3009,404,1031,3106,373,856,2879,356,801,2487
archi-phon-2006-HDK-1-vowels_0100,288.6,0.246,ú,5,Olive,100,5600,502,793,2717,535,1328,3097,385,1034,2945,357,981,3059,470,816,2687
archi-phon-2006-HDK-1-vowels_0101,251.3,0.276,íˤ,6,Cyan,101,7067,555,2120,3253,524,2565,3356,502,2776,3212,444,2840,3225,440,2883,3400
archi-phon-2006-HDK-1-vowels_0102,231.4,0.232,íˤ,6,Cyan,102,6533,486,2356,3145,478,2619,3219,472,2659,3100,460,2724,3138,424,2826,3171
archi-phon-2006-HDK-1-vowels_0103,318.5,0.272,úː,15,Olive,103,5200,397,844,2006,413,617,2021,402,704,2012,368,821,2003,365,1238,2600
archi-phon-2006-HDK-1-vowels_0104,296.4,0.284,úː,15,Olive,104,5467,460,883,2876,528,1304,3105,430,1217,3089,407,915,2958,468,1199,2686
archi-phon-2006-HDK-1-vowels_0105,271,0.27,ú,5,Olive,105,5733,463,1638,2775,541,1142,2985,550,1149,3050,534,1139,3066,516,1077,3114
archi-phon-2006-HDK-1-vowels_0106,253.7,0.288,ú,5,Olive,106,6933,526,1613,3044,526,1080,3133,518,1051,3284,503,1001,3216,482,1172,3283
archi-phon-2006-HDK-1-vowels_0107,253.9,0.284,á,3,Purple,107,6533,696,1810,3116,923,1804,3128,990,1811,3179,997,1796,3182,944,1869,3190
archi-phon-2006-HDK-1-vowels_0108,241.6,0.28,á,3,Purple,108,6400,778,1752,3054,957,1821,3127,976,1876,3125,974,1881,3096,749,1867,3074
archi-phon-2006-HDK-1-vowels_0109,314.1,0.258,úˤ,10,Maroon,109,5200,541,868,1985,515,759,1981,500,669,2179,487,922,2044,576,1205,2087
archi-phon-2006-HDK-1-vowels_0110,279.3,0.234,úˤ,10,Maroon,110,5467,486,985,2340,544,890,2444,547,867,2351,538,919,2364,546,1158,2370
archi-phon-2006-HDK-1-vowels_0111,293.5,0.34,úː,15,Olive,111,6000,533,2132,3132,409,1604,2930,396,1388,3068,483,1107,3189,455,1226,3071
archi-phon-2006-HDK-1-vowels_0112,270.8,0.324,úː,15,Olive,112,6400,541,1174,2821,525,927,2526,529,1085,2605,548,1043,2893,459,1395,2980
archi-phon-2006-HDK-1-vowels_0113,277.4,0.132,á,3,Purple,113,7200,785,2205,3223,856,2073,3213,1061,2001,3247,1018,2000,3283,784,1970,3425
archi-phon-2006-HDK-1-vowels_0114,271.8,0.32,óː,14,Green,114,7067,583,1134,3316,576,1110,3307,569,1093,3313,625,1087,3288,602,1343,3340
archi-phon-2006-HDK-1-vowels_0115,260.9,0.114,á,3,Purple,115,6800,792,2200,3094,915,2008,3156,946,1990,3170,1012,1938,3255,830,1992,3332
archi-phon-2006-HDK-1-vowels_0116,254.7,0.354,óː,14,Green,116,6667,547,1064,3320,551,1034,3323,553,1032,3293,633,1025,3279,638,1259,3362
archi-phon-2006-HDK-1-vowels_0117,280.7,0.118,á,3,Purple,117,6667,798,2147,3200,1005,2007,3195,912,1980,3267,645,1923,3292,839,1996,3292
archi-phon-2006-HDK-1-vowels_0118,272.6,0.39,úː,15,Olive,118,6267,538,1878,3490,547,800,3287,534,722,2942,546,739,2780,511,1119,3308
archi-phon-2006-HDK-1-vowels_0119,242.2,0.09,á,3,Purple,119,7067,877,2010,3113,904,1910,3099,928,1926,3152,814,1918,3270,785,1897,3271
archi-phon-2006-HDK-1-vowels_0120,271.6,0.32,úː,15,Olive,120,5867,542,1664,3412,552,923,3159,546,1079,3182,575,980,3250,518,1095,3344
archi-phon-2006-HDK-1-vowels_0121,265.8,0.166,úˤ,10,Maroon,121,6133,556,1150,2545,543,1154,2699,539,1132,2794,622,1064,2961,694,1302,3376
archi-phon-2006-HDK-1-vowels_0122,243,0.172,úˤ,10,Maroon,122,6800,564,1007,2544,519,986,2638,629,1029,2642,681,958,2942,568,1196,3487
archi-phon-2006-HDK-1-vowels_0123,257.9,0.178,úˤ,10,Maroon,123,6533,510,1044,2746,508,1028,2665,511,1019,2728,563,1077,2863,570,1334,3209
archi-phon-2006-HDK-1-vowels_0124,275.6,0.13,úˤ,10,Maroon,124,6933,554,1113,2764,551,1133,2747,567,1144,2834,591,1132,3049,609,1445,3120
archi-phon-2006-HDK-1-vowels_0125,236.8,0.224,ó,4,Green,125,6000,566,1578,2895,605,1203,3062,572,1169,3064,565,1159,3136,577,1299,3106
archi-phon-2006-HDK-1-vowels_0126,235,0.27,ó,4,Green,126,6133,623,1705,2941,622,1185,3070,570,1160,3093,544,1162,3126,615,1365,2997
archi-phon-2006-HDK-1-vowels_0127,272.6,0.272,ó,4,Green,127,7200,554,1087,3175,561,1121,3183,564,1115,3241,574,1151,3237,571,1600,3413
archi-phon-2006-HDK-1-vowels_0128,254.9,0.276,ó,4,Green,128,6000,540,1010,3169,543,1033,3152,548,1053,3169,558,1100,3211,566,1383,3257
archi-phon-2006-HDK-1-vowels_0129,314.8,0.196,ú,5,Olive,129,5733,481,1050,2482,498,784,2516,453,909,2550,430,978,3189,491,1134,3186
archi-phon-2006-HDK-1-vowels_0130,274.3,0.216,ú,5,Olive,130,5200,530,963,2392,540,915,2312,565,1026,2534,515,796,2253,533,1082,2647
archi-phon-2006-HDK-1-vowels_0131,291.9,0.196,óˤ,9,Lime,131,5200,591,1118,1789,581,1150,2133,584,1158,2210,604,1172,2248,624,1216,1807
archi-phon-2006-HDK-1-vowels_0132,276.7,0.228,óˤ,9,Lime,132,5333,592,1075,2268,557,1105,2391,567,1126,2276,566,1120,2172,655,1313,2301
archi-phon-2006-HDK-1-vowels_0133,268.9,0.264,óˤ,9,Lime,133,6800,605,1170,2860,615,1160,2902,600,1140,3024,754,1085,2998,654,1190,2894
archi-phon-2006-HDK-1-vowels_0134,253.4,0.282,óˤ,9,Lime,134,6933,596,1166,2861,611,1147,2848,651,1108,2968,752,1115,3056,628,1147,2970
archi-phon-2006-HDK-1-vowels_0135,278.2,0.16,á,3,Purple,135,6667,1112,1740,3133,1119,1965,3261,1110,1954,3206,1070,1914,3116,973,1831,3125
archi-phon-2006-HDK-1-vowels_0136,273.3,0.14,á,3,Purple,136,6667,1012,1688,3116,1092,1852,3180,1087,1913,3213,1052,1883,3206,926,1829,3235
archi-phon-2006-HDK-1-vowels_0137,284.8,0.166,ó,4,Green,137,5867,578,1157,3309,600,1199,3145,624,1235,3133,619,1297,3132,580,1415,3179
archi-phon-2006-HDK-1-vowels_0138,281.7,0.148,ó,4,Green,138,6800,583,1156,3461,592,1162,3383,589,1162,3359,589,1227,3313,562,1394,3318
archi-phon-2006-HDK-1-vowels_0139,274.4,0.232,á,3,Purple,139,6533,840,1524,3028,1054,1688,2957,1049,1798,3022,1033,1782,2919,931,1844,3125
archi-phon-2006-HDK-1-vowels_0140,254.4,0.212,á,3,Purple,140,6933,883,1659,2929,951,1729,2977,971,1802,2930,1015,1776,2858,892,1863,2962
archi-phon-2006-HDK-1-vowels_0141,296.1,0.214,ó,4,Green,141,6133,560,1881,3053,584,1253,3159,627,1242,3134,684,1347,3019,662,1365,2961
archi-phon-2006-HDK-1-vowels_0142,225.4,0.296,á,3,Purple,142,6400,820,1589,2915,959,1758,2987,1005,1721,2823,954,1753,2850,834,1787,2819
archi-phon-2006-HDK-1-vowels_0143,262.8,0.194,ó,4,Green,143,6533,492,1644,3007,553,1215,3015,558,1141,3082,574,1402,3096,577,1954,2978
archi-phon-2006-HDK-1-vowels_0144,212.8,0.284,á,3,Purple,144,6133,758,1465,3049,932,1635,3001,945,1681,2924,939,1697,2924,813,1687,2854
archi-phon-2006-HDK-1-vowels_0145,292.3,0.266,éˤ,7,Blue,145,7200,656,2276,3124,640,2305,3123,686,2218,2960,695,2044,2689,687,1461,2336
archi-phon-2006-HDK-1-vowels_0146,251.8,0.228,éˤ,7,Blue,146,6133,566,2326,3123,619,2369,3072,598,2285,2938,639,2073,2731,732,1389,2494
archi-phon-2006-HDK-1-vowels_0147,282.2,0.228,í,1,Teal,147,7200,378,2985,3773,345,2958,3628,328,2941,3631,366,3005,3557,403,2905,3572
archi-phon-2006-HDK-1-vowels_0148,259.2,0.248,í,1,Teal,148,6133,385,2911,3604,349,2934,3450,359,2939,3419,381,2926,3370,362,2793,3459
archi-phon-2006-HDK-1-vowels_0149,261.1,0.448,í,1,Teal,149,6533,301,2879,3295,336,2937,3556,345,2983,3590,328,2952,3424,385,3012,3815
archi-phon-2006-HDK-1-vowels_0150,249.2,0.356,í,1,Teal,150,6533,292,2850,3197,339,2883,3555,338,2973,3519,398,2974,3598,404,2996,3670
archi-phon-2006-HDK-1-vowels_0151,286.6,0.194,í,1,Teal,151,7200,461,3015,3579,429,3024,3501,389,3006,3490,428,3079,3541,449,2858,3606
archi-phon-2006-HDK-1-vowels_0152,228.8,0.162,í,1,Teal,152,7200,423,2749,3523,535,2774,3583,452,2832,3542,426,2800,3331,382,2317,3046
archi-phon-2006-HDK-1-vowels_0153,327.3,0.138,í,1,Teal,153,6533,396,2687,3651,491,2674,3275,456,2766,3247,449,2688,3168,379,2014,3022
archi-phon-2006-HDK-1-vowels_0154,288.4,0.234,íˤ,6,Cyan,154,6933,390,2943,3491,331,3033,3263,330,3023,3243,452,2887,3121,554,2386,3108
archi-phon-2006-HDK-1-vowels_0155,271.4,0.218,íˤ,6,Cyan,155,5733,464,2934,3325,434,2933,3201,440,2921,3225,514,2779,3166,546,2183,2990
archi-phon-2006-HDK-1-vowels_0156,278.4,0.396,íː,11,Teal,156,7067,386,3003,3559,369,3117,3406,365,3132,3585,411,3045,3346,478,2749,3293
archi-phon-2006-HDK-1-vowels_0157,268.5,0.43,íː,11,Teal,157,6933,389,2937,3507,408,3015,3741,430,3017,3479,424,2965,3317,485,2421,3374
archi-phon-2006-HDK-1-vowels_0158,292.8,0.268,é,2,Navy,158,7200,568,2610,3145,609,2633,3182,627,2624,3179,630,2406,3095,602,2139,3016
archi-phon-2006-HDK-1-vowels_0159,262.9,0.196,é,2,Navy,159,6933,516,2609,3122,529,2666,3105,554,2637,3148,562,2406,3170,569,1920,3118
archi-phon-2006-HDK-1-vowels_0160,232.2,0.208,á,3,Purple,160,6800,741,2165,3225,807,1934,3128,884,1910,3048,924,1851,3104,821,1809,3195
archi-phon-2006-HDK-1-vowels_0161,213.8,0.34,áˤ,8,Magenta,161,6533,693,2086,3275,819,1867,2944,932,1862,2968,952,1849,2957,936,1787,2873
archi-phon-2006-HDK-1-vowels_0162,324.6,0.246,íˤ,6,Cyan,162,6533,487,2537,3650,454,2634,3507,460,2650,3378,495,2529,3033,613,2164,2722
archi-phon-2006-HDK-1-vowels_0163,286.4,0.23,íˤ,6,Cyan,163,6533,471,2693,3579,441,2757,3548,393,2695,3374,446,2631,3213,573,2248,2805
archi-phon-2006-HDK-1-vowels_0164,266.9,0.274,á,3,Purple,164,6667,784,1856,3425,1052,1846,3281,1213,1826,3432,1234,1804,3441,1280,1742,3669
archi-phon-2006-HDK-1-vowels_0165,253.8,0.266,á,3,Purple,165,6800,611,1795,3360,1012,1794,3339,1068,1797,3306,1025,1808,3395,1034,1807,3526
archi-phon-2006-HDK-1-vowels_0166,275.2,0.228,é,2,Navy,166,7067,551,2727,3363,558,2718,3350,567,2688,3332,600,2467,3278,639,1922,3280
archi-phon-2006-HDK-1-vowels_0167,268.1,0.296,é,2,Navy,167,7200,586,2731,3334,532,2713,3237,555,2691,3256,567,2486,3244,657,1984,3262
archi-phon-2006-HDK-1-vowels_0168,275.5,0.172,é,2,Navy,168,7200,624,2651,3209,577,2643,3210,574,2565,3192,598,2307,3233,586,2012,3351
archi-phon-2006-HDK-1-vowels_0169,257.6,0.204,é,2,Navy,169,6933,524,2649,3198,541,2776,3132,547,2655,3213,590,2645,3292,636,2171,3424
archi-phon-2006-HDK-1-vowels_0170,275.4,0.22,éˤ,7,Blue,170,7200,551,2788,3317,569,2793,3369,573,2811,3354,608,2553,3248,791,2126,3184
archi-phon-2006-HDK-1-vowels_0171,257.6,0.222,éˤ,7,Blue,171,6933,556,2673,3221,540,2572,3120,557,2592,3105,647,2587,3239,775,2038,3159
archi-phon-2006-HDK-1-vowels_0172,298,0.182,á,3,Purple,172,6800,659,2074,3268,1052,1962,3325,1214,1857,3319,1194,1788,3367,1164,1766,3483
archi-phon-2006-HDK-1-vowels_0173,276.1,0.202,á,3,Purple,173,6400,674,1996,3241,1003,1960,3357,1082,1917,3340,1104,1850,3372,995,1783,3400
archi-phon-2006-HDK-1-vowels_0174,283.1,0.214,é,2,Navy,174,6400,504,2511,3019,603,2334,2967,600,2399,3029,614,2400,3038,786,2102,2965
archi-phon-2006-HDK-1-vowels_0175,268,0.238,é,2,Navy,175,6533,534,2565,3105,569,2401,3040,581,2398,3053,672,2375,3094,759,2026,2986
archi-phon-2006-HDK-1-vowels_0176,265.8,0.218,éˤ,7,Blue,176,7200,597,2418,3215,571,2540,3308,606,2515,3283,580,2345,3284,585,2395,3251
archi-phon-2006-HDK-1-vowels_0177,262.2,0.246,éˤ,7,Blue,177,6933,558,2535,3046,545,2545,3171,577,2679,3207,603,2640,3232,595,2317,3191
archi-phon-2006-HDK-1-vowels_0178,273.2,0.264,á,3,Purple,178,7200,977,1760,3217,1055,1859,3264,1075,1942,3254,1083,1958,3253,938,1939,3158
archi-phon-2006-HDK-1-vowels_0179,255.6,0.398,áːˤ,18,Magenta,179,6933,1010,1844,2709,1064,1853,2602,1033,1835,2491,990,1806,2586,905,1902,2736
archi-phon-2006-HDK-1-vowels_0180,238.3,0.344,áːˤ,18,Magenta,180,5600,1030,1831,2597,994,1835,2613,1001,1837,2660,1027,1836,2693,715,1801,2591
archi-phon-2006-HDK-1-vowels_0181,219.8,0.322,áːˤ,18,Magenta,181,5467,1137,1765,2759,1145,1819,2736,1099,1814,2595,1046,1838,2487,938,1751,2345
archi-phon-2006-HDK-1-vowels_0182,177.2,0.344,áːˤ,18,Magenta,182,5467,967,1559,2951,1059,1694,2863,1049,1729,2776,1023,1737,2777,950,1619,2635
archi-phon-2006-HDK-1-vowels_0183,267.8,0.166,éˤ,7,Blue,183,6400,682,1785,2822,622,1934,3221,632,1935,3246,692,2061,3231,688,2202,3264
archi-phon-2006-HDK-1-vowels_0184,247,0.238,éˤ,7,Blue,184,7200,717,1899,3093,756,2033,3336,691,2224,3328,585,2270,3341,516,2311,3343
archi-phon-2006-HDK-1-vowels_0185,255.3,0.3,éˤ,7,Blue,185,6400,607,1997,3150,600,1948,3238,656,1974,3201,661,2159,3192,550,2230,3174
archi-phon-2006-HDK-1-vowels_0186,250.6,0.368,éˤ,7,Blue,186,6400,634,1927,3294,604,1981,3286,706,2111,3192,609,2282,3190,474,2344,3401
archi-phon-2006-HDK-1-vowels_0187,319.4,0.27,íː,11,Teal,187,6800,362,2894,3281,386,2960,3399,375,2955,3332,372,2895,3332,383,2960,3287
archi-phon-2006-HDK-1-vowels_0188,289.8,0.27,íː,11,Teal,188,6933,364,2835,3205,379,2906,3223,377,2985,3260,461,2922,3276,486,2999,3535
archi-phon-2006-HDK-1-vowels_0189,256.7,0.132,é,2,Navy,189,6800,664,2266,2962,672,2402,3025,707,2479,3101,739,2480,3143,650,2467,3063
archi-phon-2006-HDK-1-vowels_0190,297.6,0.14,é,2,Navy,190,7200,620,2185,2938,645,2327,3022,664,2534,3046,693,2610,3107,562,2454,3089
archi-phon-2006-HDK-1-vowels_0191,275.6,0.162,á,3,Purple,191,6533,662,1268,3138,887,1744,3158,1048,1879,3156,989,1843,3147,819,1875,3313
archi-phon-2006-HDK-1-vowels_0192,253.8,0.192,á,3,Purple,192,6267,635,1246,3013,924,1715,3072,935,1785,3123,862,1910,3226,923,1899,3194
archi-phon-2006-HDK-1-vowels_0193,233.6,0.132,á,3,Purple,193,6933,814,2094,3244,946,2044,3222,905,2006,3199,827,2019,3259,778,2040,3257
archi-phon-2006-HDK-1-vowels_0194,297.8,0.202,á,3,Purple,194,7200,1098,1882,3294,1194,1871,3308,1191,1868,3224,1121,1867,3248,943,1787,3340
archi-phon-2006-HDK-1-vowels_0195,272.1,0.266,á,3,Purple,195,7200,1058,1829,3303,1078,1891,3361,1103,1846,3306,1076,1884,3308,918,1751,3317
archi-phon-2006-HDK-1-vowels_0196,236.5,0.278,á,3,Purple,196,7200,1037,1821,3181,1072,1869,3205,1052,1872,3214,986,1850,3227,734,2002,3391
archi-phon-2006-HDK-1-vowels_0197,218,0.246,á,3,Purple,197,6667,1040,1787,3230,1092,1813,3198,1100,1813,3186,1001,1801,3214,817,1901,3441
