file,f0,duration,label,group,color,number,cutoff,f11,f21,f31,f12,f22,f32,f13,f23,f33,f14,f24,f34,f15,f25,f35
archi-phon-2006-JSP-1-vowels_0133,125.8,0.174,ó,4,Green,133,4633,419,1298,2310,482,1145,2249,492,1082,2302,494,1114,2202,453,1203,2090
archi-phon-2006-JSP-1-vowels_0134,166.1,0.22,ó,4,Green,134,4633,420,750,2304,455,773,2344,489,863,2381,467,1114,2340,438,1387,2282
archi-phon-2006-JSP-1-vowels_0135,135,0.206,ó,4,Green,135,5433,406,736,2330,398,762,2287,433,840,2336,433,990,2230,433,1311,2231
archi-phon-2006-JSP-1-vowels_0136,168.8,0.214,ú,5,Olive,136,4767,455,705,2095,481,747,2224,479,950,2593,389,958,2333,364,999,2051
archi-phon-2006-JSP-1-vowels_0137,129.4,0.106,ú,5,Olive,137,5567,354,755,2214,400,767,2190,391,851,2127,387,919,2089,384,980,1968
archi-phon-2006-JSP-1-vowels_0138,166.2,0.192,á,3,Purple,138,5833,665,1353,2490,653,1412,2467,667,1419,2445,687,1441,2391,584,1506,2334
archi-phon-2006-JSP-1-vowels_0139,135.9,0.186,á,3,Purple,139,5167,658,1345,2399,653,1357,2421,658,1359,2356,646,1406,2328,572,1470,2145
archi-phon-2006-JSP-1-vowels_0140,183.9,0.224,óˤ,9,Lime,140,4767,498,1007,1892,502,959,1873,486,935,1941,488,1019,1947,458,1105,1914
archi-phon-2006-JSP-1-vowels_0141,129.1,0.238,óˤ,9,Lime,141,6100,512,1004,1958,619,1554,2561,636,1372,2883,590,1801,2806,511,1414,2873
archi-phon-2006-JSP-1-vowels_0142,148.2,0.25,ó,4,Green,142,4500,493,832,2161,466,883,2194,495,980,2142,530,1026,2116,512,1052,2025
archi-phon-2006-JSP-1-vowels_0143,118.3,0.226,ó,4,Green,143,5033,509,965,2149,483,899,2181,474,886,2265,487,863,2231,477,1118,2039
archi-phon-2006-JSP-1-vowels_0144,183.4,0.186,á,3,Purple,144,5700,526,1235,1990,675,1271,2305,699,1317,2542,683,1341,2356,652,1351,2278
archi-phon-2006-JSP-1-vowels_0145,181.6,0.162,á,3,Purple,145,5700,468,1192,1991,594,1276,2202,616,1297,2256,555,1330,2203,549,1353,2202
archi-phon-2006-JSP-1-vowels_0146,185.3,0.224,á,3,Purple,146,5167,557,1374,1984,650,1411,2290,629,1452,2406,605,1440,2406,638,1430,2403
archi-phon-2006-JSP-1-vowels_0147,190.2,0.196,á,3,Purple,147,5967,574,1404,2125,620,1418,2231,615,1388,2414,600,1384,2338,617,1405,2394
archi-phon-2006-JSP-1-vowels_0148,197,0.144,ó,4,Green,148,4500,451,1072,2107,531,1046,2123,531,1038,2152,521,1181,2269,604,1283,2107
archi-phon-2006-JSP-1-vowels_0149,185,0.12,óˤ,9,Lime,149,4500,494,944,2067,516,1068,2087,550,1134,2048,547,1108,2097,544,1171,2057
archi-phon-2006-JSP-1-vowels_0150,163.3,0.156,óˤ,9,Lime,150,4900,464,1000,2056,469,966,2148,460,1081,2242,491,1104,2344,457,1156,2369
archi-phon-2006-JSP-1-vowels_0151,209.7,0.216,éˤ,7,Blue,151,5567,441,1588,2110,492,1785,2141,537,1760,2303,477,1773,2467,458,1753,2283
archi-phon-2006-JSP-1-vowels_0152,142.6,0.232,éˤ,7,Blue,152,4767,463,1648,2128,477,1695,2280,520,1709,2319,459,1672,2445,502,1688,2312
archi-phon-2006-JSP-1-vowels_0153,164.6,0.208,á,3,Purple,153,5833,654,1337,2585,675,1429,2645,673,1397,2468,691,1455,2465,644,1548,2332
archi-phon-2006-JSP-1-vowels_0154,160,0.178,á,3,Purple,154,5833,610,1132,2475,654,1286,2497,663,1324,2470,662,1387,2428,547,1439,2301
archi-phon-2006-JSP-1-vowels_0155,184.5,0.124,á,3,Purple,155,4500,637,1119,2303,696,1235,2317,729,1334,2262,613,1442,2092,581,1509,1992
archi-phon-2006-JSP-1-vowels_0156,200,0.196,éˤ,7,Blue,156,5033,472,1582,1972,494,1706,2182,494,1733,2313,462,1819,2468,459,1816,2501
archi-phon-2006-JSP-1-vowels_0157,129.5,0.154,éˤ,7,Blue,157,5300,404,1562,1907,444,1575,2174,478,1613,2239,484,1664,2394,340,1680,2333
archi-phon-2006-JSP-1-vowels_0158,191.2,0.188,á,3,Purple,158,5700,629,1235,2464,713,1348,2482,688,1400,2422,680,1454,2375,634,1556,2435
archi-phon-2006-JSP-1-vowels_0159,151.8,0.198,á,3,Purple,159,4500,657,1157,2259,678,1234,2287,654,1350,2292,654,1425,2108,603,1457,2076
archi-phon-2006-JSP-1-vowels_0160,173.1,0.152,ó,4,Green,160,5433,431,1101,2258,471,1018,2357,498,916,2424,510,1060,2352,509,1432,2325
archi-phon-2006-JSP-1-vowels_0161,180.6,0.166,á,3,Purple,161,4500,616,1079,2423,690,1201,2416,688,1422,2391,619,1429,2132,580,1423,2122
archi-phon-2006-JSP-1-vowels_0162,165,0.118,ó,4,Green,162,5033,473,1398,2254,497,1215,2248,508,1162,2201,513,1219,2109,490,1403,2122
archi-phon-2006-JSP-1-vowels_0163,141.9,0.086,á,3,Purple,163,5833,558,1164,2382,591,1207,2332,596,1232,2254,614,1272,2129,562,1403,2061
archi-phon-2006-JSP-1-vowels_0164,205.3,0.164,ó,4,Green,164,5300,509,998,2378,535,941,2380,555,973,2366,531,974,2433,468,1191,2318
archi-phon-2006-JSP-1-vowels_0165,106.5,0.132,í,1,Teal,165,5967,310,1915,2672,313,1923,2676,363,1975,2640,418,1980,2654,349,1956,2712
archi-phon-2006-JSP-1-vowels_0166,176.3,0.138,ó,4,Green,166,4500,490,984,2208,510,870,2311,534,912,2336,567,1095,2220,555,1210,1967
archi-phon-2006-JSP-1-vowels_0167,142.5,0.182,éˤ,7,Blue,167,5033,443,1773,2415,467,1602,2210,464,1617,2237,448,1521,1890,456,1315,1822
archi-phon-2006-JSP-1-vowels_0168,96.6,0.092,í,1,Teal,168,5300,359,1869,2571,355,1905,2635,388,1896,2555,415,1963,2557,409,1961,2497
archi-phon-2006-JSP-1-vowels_0169,203.1,0.266,í,1,Teal,169,4900,330,2153,2676,349,2185,2663,350,2241,2737,376,2258,2730,253,2144,2763
archi-phon-2006-JSP-1-vowels_0170,161.8,0.232,í,1,Teal,170,4767,353,2176,2586,330,2149,2520,339,2148,2517,334,2114,2592,325,2090,2701
archi-phon-2006-JSP-1-vowels_0171,212.5,0.36,í,1,Teal,171,5300,299,2200,2682,360,2298,2789,386,2331,2738,383,2327,2816,325,2265,2772
archi-phon-2006-JSP-1-vowels_0172,134.2,0.244,í,1,Teal,172,5700,307,2151,2766,303,2244,2847,316,2336,2911,323,2352,2855,311,2353,2901
archi-phon-2006-JSP-1-vowels_0173,146.2,0.146,í,1,Teal,173,5300,398,1976,2347,383,2129,2497,353,2164,2543,358,2185,2631,352,2125,2555
archi-phon-2006-JSP-1-vowels_0174,285.3,0.136,í,1,Teal,174,5700,442,2155,2410,346,2164,2583,354,2170,2669,338,2147,2643,347,2214,2656
archi-phon-2006-JSP-1-vowels_0175,144.5,0.168,í,1,Teal,175,4500,340,590,2262,319,630,2289,324,693,2271,311,845,2231,302,986,2129
archi-phon-2006-JSP-1-vowels_0176,243,0.212,í,1,Teal,176,4900,420,1996,2606,476,2077,2558,495,2107,2520,507,2080,2525,491,1981,2530
archi-phon-2006-JSP-1-vowels_0177,209.8,0.188,í,1,Teal,177,5033,486,1853,2620,416,1942,2658,447,2010,2602,424,1994,2496,418,1813,2369
archi-phon-2006-JSP-1-vowels_0178,237.7,0.22,í,1,Teal,178,4767,304,2067,2663,304,2027,2657,353,2059,2681,430,2075,2667,426,1960,2408
archi-phon-2006-JSP-1-vowels_0179,151.6,0.196,í,1,Teal,179,5167,309,2185,2764,313,2143,2844,360,2112,2639,447,1913,2353,437,1780,2230
archi-phon-2006-JSP-1-vowels_0180,180.7,0.104,á,3,Purple,180,5833,821,1289,2724,718,1290,2621,738,1322,2548,680,1328,2522,574,1340,2526
archi-phon-2006-JSP-1-vowels_0181,152.3,0.12,á,3,Purple,181,5167,802,1241,2628,785,1294,2540,636,1372,2529,603,1367,2635,484,1393,2370
archi-phon-2006-JSP-1-vowels_0182,176.1,0.224,íː,11,Teal,182,4767,349,2104,2634,334,2072,2631,357,2094,2651,392,2031,2631,376,1931,2489
archi-phon-2006-JSP-1-vowels_0183,162.2,0.188,íː,11,Teal,183,5433,304,2146,2652,300,2142,2621,283,2061,2606,281,1858,2475,261,1819,2430
archi-phon-2006-JSP-1-vowels_0184,193.2,0.11,á,3,Purple,184,5300,740,1643,2448,719,1489,2429,706,1415,2487,632,1345,2542,691,1243,2430
archi-phon-2006-JSP-1-vowels_0185,157.5,0.106,óˤ,9,Lime,185,4633,489,1340,2296,497,1232,2205,544,1174,2069,548,1086,1985,558,965,2030
archi-phon-2006-JSP-1-vowels_0186,156.5,0.06,á,3,Purple,186,4500,580,1568,2320,634,1407,2346,635,1373,2355,614,1249,2342,650,1316,2358
archi-phon-2006-JSP-1-vowels_0187,131.4,0.068,ó,4,Green,187,4500,445,1373,2275,504,1311,2151,510,1259,2072,515,1204,2014,534,1257,1969
archi-phon-2006-JSP-1-vowels_0188,215.5,0.29,áˤ,8,Magenta,188,5167,586,1526,2139,641,1432,2105,644,1432,2179,692,1508,2314,726,1516,2367
archi-phon-2006-JSP-1-vowels_0189,215.9,0.248,áˤ,8,Magenta,189,4500,632,1477,1993,703,1409,2017,692,1370,2018,674,1372,2065,685,1358,2059
archi-phon-2006-JSP-1-vowels_0190,195.8,0.25,íˤ,6,Cyan,190,4900,364,2087,2680,367,2017,2722,405,1950,2375,437,1894,2343,429,1680,2098
archi-phon-2006-JSP-1-vowels_0191,199.3,0.13,ó,4,Green,191,5700,464,893,2263,495,973,2349,580,1082,2269,539,1117,2278,488,1367,2378
archi-phon-2006-JSP-1-vowels_0192,164.6,0.188,íˤ,6,Cyan,192,4767,339,1996,2627,315,1955,2570,357,1943,2645,366,1905,2503,382,1869,2183
archi-phon-2006-JSP-1-vowels_0193,172.2,0.182,éː,12,Navy,193,4767,454,1835,2484,499,1827,2494,509,1776,2493,515,1808,2444,541,1677,2359
archi-phon-2006-JSP-1-vowels_0194,150,0.166,éː,12,Navy,194,5167,412,1837,2676,449,1862,2426,466,1818,2440,477,1835,2456,465,1642,2229
archi-phon-2006-JSP-1-vowels_0195,171.4,0.212,á,3,Purple,195,6100,485,1465,2468,580,1291,2807,578,1284,2857,600,1313,2987,627,1446,2885
archi-phon-2006-JSP-1-vowels_0196,149.6,0.178,á,3,Purple,196,5833,459,1522,2463,586,1435,2692,589,1276,2850,568,1347,2938,566,1355,2964
archi-phon-2006-JSP-1-vowels_0197,161.3,0.216,é,2,Navy,197,4900,449,1761,2427,485,1744,2369,512,1616,2339,523,1450,2352,541,1425,2315
archi-phon-2006-JSP-1-vowels_0198,155.3,0.188,é,2,Navy,198,4767,470,1855,2304,465,1815,2316,516,1708,2331,530,1387,2320,539,1406,2361
archi-phon-2006-JSP-1-vowels_0199,161.9,0.214,á,3,Purple,199,5567,517,1400,2426,640,1259,2713,616,1265,2803,560,1308,2861,548,1326,2853
archi-phon-2006-JSP-1-vowels_0200,185,0.154,é,2,Navy,200,5967,476,1864,2563,430,1851,2557,443,1833,2498,455,1758,2438,450,1610,2502
archi-phon-2006-JSP-1-vowels_0201,127.5,0.15,á,3,Purple,201,5833,592,1198,2389,592,1162,2295,634,1188,2405,639,1323,2317,542,1382,2266
